id,airport_code,spirit_animal,email,app_name,material_type
"338","GAQ","Levaillant's barbet","cwishkar9d@yelp.com","Zamit","Plexiglass",
"339","RUK","Skink, african","mcornford9e@oracle.com","Aerified","Plastic",
"340","HUW","Sheathbill, snowy","abonnavant9f@vkontakte.ru","Zaam-Dox","Brass",
"341","UAR","Macaque, rhesus","jborghese9g@statcounter.com","Subin","Rubber",
"342","AGQ","Indian red admiral","fjonas9h@friendfeed.com","Voyatouch","Wood",
"343","CVC","Violet-eared waxbill","fhaggath9i@1688.com","Kanlam","Steel",
"344","MTC","Eagle, long-crested hawk","qtabourel9j@comcast.net","Alpha","Brass",
"345","JUN","Blue shark","aoven9k@salon.com","Fintone","Aluminum",
"346","GAZ","Raccoon, common","utenpenny9l@howstuffworks.com","Bigtax","Glass",
"347","OSE","Red-breasted nuthatch","jgilogly9m@soup.io","Holdlamis","Rubber",
"348","EOK","Nelson ground squirrel","gcankett9n@independent.co.uk","Sonair","Granite",
"349","GLP","Colobus, white-mantled","aluna9o@photobucket.com","Tres-Zap","Wood",
"350","TTC","Stork, marabou","tsafhill9p@geocities.jp","Stim","Aluminum",
"351","ECS","Rufous tree pie","moclovan9q@mashable.com","Job","Brass",
"352","WRW","Red brocket","hbuss9r@dailymotion.com","Sub-Ex","Glass",
"353","DJM","African black crake","ecostanza9s@bravesites.com","Voltsillam","Stone",
"354","RML","Cape wild cat","ooneile9t@whitehouse.gov","Tresom","Brass",
"355","TAO","American crow","ewarboys9u@hud.gov","Treeflex","Plexiglass",
"356","CEN","Hoary marmot","astinchcombe9v@moonfruit.com","Domainer","Rubber",
"357","FDE","Dolphin, common","ejinks9w@printfriendly.com","Fixflex","Stone",
"358","SRJ","Peacock, blue","pskates9x@webs.com","Job","Vinyl",
"359","BMZ","Sugar glider","khubbold9y@gnu.org","Y-find","Plastic",
"360","CUV","Common ringtail","hherity9z@over-blog.com","Fintone","Wood",
"361","VIN","Cow, scottish highland","lmccomea0@fastcompany.com","Subin","Glass",
"362","HYL","Common pheasant","ajadosa1@amazonaws.com","Stronghold","Plexiglass",
"363","LTB","Serval","myssona2@digg.com","Prodder","Aluminum",
"364","MLE","Quoll, spotted-tailed","mwiddalla3@sun.com","Transcof","Stone",
"365","DMM","Tapir, brazilian","qkleinhauta4@guardian.co.uk","Tampflex","Aluminum",
"366","MXZ","Lemming, collared","hrameaua5@moonfruit.com","Veribet","Brass",
"367","JSK","Emu","owarrella6@4shared.com","Duobam","Plexiglass",
"368","GRP","Red-breasted nuthatch","vgoddena7@icq.com","Home Ing","Plexiglass",
"369","ARQ","Hawk, ferruginous","stourmella8@who.int","Duobam","Rubber",
"370","NKU","Frogmouth, tawny","krisbrougha9@pbs.org","Konklab","Granite",
"371","NSM","Sage hen","babbissaa@google.de","Mat Lam Tam","Aluminum",
"372","HIA","Quoll, eastern","rbuggab@godaddy.com","Lotlux","Wood",
"373","WHF","Scottish highland cow","tdominikac@wordpress.org","Sub-Ex","Plastic",
"374","VOH","Common rhea","jkeniwellad@intel.com","Duobam","Steel",
"375","SBS","Alligator, mississippi","jsimonassiae@about.me","Flexidy","Aluminum",
"376","SRN","Seal, common","gdowreyaf@paginegialle.it","Span","Granite",
"377","WTO","Cape fox","whandoverag@ustream.tv","Hatity","Steel",
"378","LRB","Zebra, plains","lsiveyerah@amazon.co.uk","Fix San","Granite",
"379","FYJ","Bustard, denham's","mherreroai@surveymonkey.com","Treeflex","Wood",
"380","PNX","Goanna lizard","arawlisonaj@123-reg.co.uk","Ronstring","Stone",
"381","WYN","African fish eagle","aveschiak@who.int","Fix San","Stone",
"382","SOJ","Sandpiper, spotted wood","agaythwaiteal@slate.com","Keylex","Plastic",
"383","KPY","Fox, cape","lmacquarrieam@engadget.com","Zaam-Dox","Glass",
"384","IXB","Ferruginous hawk","umoffettan@etsy.com","Bamity","Steel",
"385","SDF","Magnificent frigate bird","msantao@irs.gov","Opela","Plexiglass",
"386","DGO","Butterfly, canadian tiger swallowtail","ksolonap@nationalgeographic.com","Opela","Brass",
"387","MXV","Goose, knob-nosed","hpulleraq@admin.ch","Cardify","Stone",
"388","PCL","Black kite","cgernierar@google.ru","Mat Lam Tam","Granite",
"389","LYS","Malabar squirrel","dlorrymanas@sfgate.com","Zoolab","Aluminum",
"390","PGF","Stork, greater adjutant","scaplenat@devhub.com","Greenlam","Plexiglass",
"391","GDP","Bohor reedbuck","lmarhamau@amazon.com","Zoolab","Granite",
"392","AYW","Monkey, rhesus","eiddendenav@admin.ch","Bytecard","Steel",
"393","AUU","Cattle egret","jleduraw@51.la","Tres-Zap","Wood",
"394","OMA","Polar bear","odoolerax@japanpost.jp","Cookley","Vinyl",
"395","EED","Rhea, common","mtarveray@comcast.net","Namfix","Aluminum",
"396","BMU","Pale white-eye","fpreedyaz@symantec.com","It","Granite",
"397","TEE","Skunk, western spotted","rsturmeyb0@ucoz.com","Andalax","Aluminum",
"398","CLQ","African bush squirrel","jperrinb1@ifeng.com","Bigtax","Aluminum",
"399","VVN","Capuchin, weeper","natleyb2@delicious.com","Solarbreeze","Plexiglass",
"400","PNL","Lion, australian sea","gsambellb3@angelfire.com","Zathin","Rubber",
"401","MJW","Western spotted skunk","jbowditchb4@msn.com","Cookley","Plastic",
"402","BSE","Fox, arctic","sstanboroughb5@bing.com","Matsoft","Plastic",
"403","AAX","Squirrel, red","mcolvillb6@vistaprint.com","Veribet","Plastic",
"404","LDZ","Springhare","jwinleyb7@telegraph.co.uk","Kanlam","Vinyl",
"405","RMG","Pigeon, feral rock","cvarahb8@sphinn.com","Cookley","Brass",
"406","QGU","Tokay gecko","hscraggsb9@google.es","Prodder","Plastic",
"407","OVE","Stanley crane","mbiddlestoneba@samsung.com","Mat Lam Tam","Plexiglass",
"408","RAV","Wildebeest, blue","ijessbb@timesonline.co.uk","Wrapsafe","Steel",
"409","EQS","Hoopoe, eurasian","dcalderobc@sciencedaily.com","Opela","Stone",
"410","YWB","Waxbill, black-cheeked","lmathousebd@java.com","Hatity","Plastic",
"411","GSA","Common wolf","msoutarbe@multiply.com","Job","Brass",
"412","RNR","Weaver, sociable","kedmandbf@irs.gov","Hatity","Aluminum",
"413","SHW","Kingfisher, malachite","pwiddopbg@bandcamp.com","Prodder","Plexiglass",
"414","UND","Polar bear","cmackettbh@linkedin.com","Job","Glass",
"415","PZK","Small-spotted genet","eglassfordbi@eepurl.com","Stronghold","Vinyl",
"416","GBG","Mule deer","mlarivebj@google.it","Andalax","Glass",
"417","LCD","American beaver","datwillbk@deviantart.com","Matsoft","Vinyl",
"418","BOJ","Savannah deer (unidentified)","spurdonbl@odnoklassniki.ru","Zontrax","Glass",
"419","CFH","Bennett's wallaby","ftollebm@ca.gov","Andalax","Granite",
"420","VQS","Rhea, gray","cedwardsbn@who.int","Hatity","Rubber",
"421","NNU","Otter, small-clawed","evealbo@ucoz.ru","Temp","Glass",
"422","FUK","Racer, american","nnealebp@meetup.com","Trippledex","Plastic",
"423","KOM","Rock dove","dlambertsonbq@home.pl","Vagram","Rubber",
"424","KLQ","Mexican boa","bbollinbr@yellowpages.com","Zaam-Dox","Plastic",
"425","XIQ","Shrike, common boubou","jrandbs@soundcloud.com","Ronstring","Rubber",
"426","SKX","Bear, sloth","kshambrookbt@scientificamerican.com","Stim","Aluminum",
"427","SLN","Tarantula","elargenbu@mozilla.com","Cardguard","Steel",
"428","PED","Asian red fox","caldwickbv@privacy.gov.au","Sonsing","Plastic",
"429","LNJ","Rhinoceros, square-lipped","ezanuttibw@networkadvertising.org","Fixflex","Glass",
"430","SDE","Spectacled caiman","esteelbx@goo.gl","Fixflex","Glass",
"431","CUL","Flamingo, lesser","jokellyby@guardian.co.uk","Zaam-Dox","Plastic",
"432","JSM","Screamer, southern","bflanniganbz@google.de","Daltfresh","Steel",
"433","CJB","Brazilian tapir","gharcourtc0@surveymonkey.com","Tres-Zap","Brass",
"434","JOH","Neotropic cormorant","mrainsc1@yelp.com","Flowdesk","Wood",
"435","MHZ","Springbuck","cbattmanc2@taobao.com","Fintone","Granite",
"436","HBE","Collared peccary","dgorglc3@telegraph.co.uk","Greenlam","Wood",
"437","WAZ","White-tailed deer","jwhorfc4@meetup.com","Andalax","Brass",
"438","EBD","White-fronted bee-eater","mtonbyec5@gravatar.com","It","Vinyl",
"439","ATN","Burchell's gonolek","cgullc6@mozilla.org","Lotstring","Plastic",
"440","RXS","Sheathbill, snowy","ebewickec7@economist.com","It","Rubber",
"441","RHV","South American meadowlark (unidentified)","bpizeyc8@so-net.ne.jp","Viva","Granite",
"442","MKI","Red-headed woodpecker","lrubinowitschc9@omniture.com","Sub-Ex","Plexiglass",
"443","SYF","Cormorant, great","lashmoleca@people.com.cn","Trippledex","Brass",
"444","LFW","Black-capped capuchin","cgamblecb@census.gov","Hatity","Brass",
"445","WAQ","White-tailed jackrabbit","rgillorancc@google.cn","Temp","Glass",
"446","ATT","Platypus","ifealycd@devhub.com","Stim","Vinyl",
"447","REZ","Cockatoo, sulfur-crested","fouslemce@domainmarket.com","Asoka","Steel",
"448","PIW","Deer, swamp","rhuxstepcf@biblegateway.com","Zontrax","Granite",
"449","KCJ","Galapagos dove","ihawtreycg@smugmug.com","Kanlam","Plastic",
"450","UAH","Common nighthawk","nbowlingch@epa.gov","Rank","Glass",
"451","CAV","Seal, common","jmckevittci@independent.co.uk","Solarbreeze","Vinyl",
"452","ABV","Brazilian otter","kjoviciccj@tamu.edu","Bamity","Wood",
"453","OHI","Langur, gray","spennicottck@dmoz.org","Sub-Ex","Vinyl",
"454","RCK","Great horned owl","laxcellcl@amazon.com","Ventosanzap","Rubber",
"455","VLG","Beisa oryx","hdenleycm@paypal.com","Sonair","Rubber",
"456","KDX","Blue-footed booby","ntrenholmcn@edublogs.org","Tresom","Wood",
"457","HNH","Cat, cape wild","noggerco@rakuten.co.jp","Zontrax","Glass",
"458","OBM","Indian tree pie","cnataliecp@aboutads.info","Job","Plastic",
"459","FMO","Dove, ring","sbaystoncq@google.com","Ventosanzap","Steel",
"460","NLK","Indian giant squirrel","mmacconnellcr@wunderground.com","Sonsing","Stone",
"461","RDD","Red-billed toucan","rtweedycs@bloglovin.com","Redhold","Glass",
"462","EMA","Ox, musk","dhacquardct@shinystat.com","Sonair","Granite",
"463","PRR","Wombat, common","ewhiskerdcu@springer.com","Span","Vinyl",
"464","NGZ","Sandhill crane","jholdforthcv@google.de","Daltfresh","Plastic",
"465","TEM","African pied wagtail","lvickcw@cam.ac.uk","Zaam-Dox","Brass",
"466","GGD","Phalarope, red","mlemoucheuxcx@paypal.com","Ventosanzap","Plexiglass",
"467","LVL","Heron, gray","bbasnettcy@utexas.edu","It","Brass",
"468","EMP","Green-backed heron","hdranfieldcz@scientificamerican.com","Tresom","Plastic",
"469","BOY","Prairie falcon","jmcnirlind0@dagondesign.com","Bitchip","Aluminum",
"470","XEN","Rhinoceros, black","rfablerd1@ezinearticles.com","Tampflex","Plexiglass",
"471","VDZ","White-throated toucan","ecridlind2@flavors.me","Domainer","Glass",
"472","UIZ","Brown antechinus","cwinspard3@illinois.edu","Tin","Brass",
"473","IBI","Common seal","sdobrowolnyd4@amazon.com","Matsoft","Plexiglass",
"474","ASH","Civet, common palm","hmcmahond5@jigsy.com","Hatity","Steel",
"475","CLK","Slender loris","wgiraldod6@ft.com","Treeflex","Plastic",
"476","ABG","Sociable weaver","lmcevoyd7@toplist.cz","Span","Stone",
"477","GAT","Kongoni","aewbanckd8@ocn.ne.jp","Vagram","Aluminum",
"478","MCW","Shrike, southern white-crowned","ahumberstoned9@jugem.jp","Prodder","Brass",
"479","CMJ","Cat, kaffir","fhehirda@blogger.com","Flexidy","Rubber",
"480","WMN","Squirrel, uinta ground","cciobutarudb@dedecms.com","Bitchip","Brass",
"481","RSJ","Wallaby, dama","jfirbydc@yellowpages.com","Subin","Vinyl",
"482","CUJ","Malabar squirrel","vgildeadd@biglobe.ne.jp","Stronghold","Brass",
"483","DEI","Wild boar","acluede@mozilla.org","Andalax","Granite",
"484","BYN","Rat, white-faced tree","aconduitdf@w3.org","Ronstring","Rubber",
"485","ZIG","Golden-mantled ground squirrel","acastiglionidg@boston.com","Y-find","Steel",
"486","RRT","Denham's bustard","gcaswilldh@yandex.ru","Duobam","Wood",
"487","IQQ","Southern right whale","rsuggdi@cargocollective.com","Temp","Rubber",
"488","CYS","Red and blue macaw","wmalyandj@woothemes.com","Tres-Zap","Vinyl",
"489","VNT","Legaan, ground","vwingdk@elegantthemes.com","Regrant","Brass",
"490","DSV","Mocking cliffchat","sdunnetdl@biblegateway.com","Regrant","Plastic",
"491","YOE","Comb duck","ngreguoldm@t.co","Kanlam","Wood",
"492","HDB","Lapwing, southern","fvorleydn@mysql.com","Tres-Zap","Plastic",
"493","PAL","Tyrant flycatcher","ascoreydo@independent.co.uk","Fixflex","Vinyl",
"494","DLE","Toucan, red-billed","probertellidp@barnesandnoble.com","Prodder","Granite",
"495","PCC","Red-breasted cockatoo","ljoredq@webeden.co.uk","Voltsillam","Wood",
"496","BZN","Sandpiper, spotted wood","wcarissdr@columbia.edu","Fintone","Aluminum",
"497","COR","Dolphin, bottle-nose","hcurryds@about.me","Vagram","Aluminum",
"498","BWH","Lion, galapagos sea","rshambrookdt@csmonitor.com","Opela","Plexiglass",
"499","DCM","Capuchin, brown","camooredu@sina.com.cn","Viva","Glass",
"500","SCD","Southern tamandua","kwrothdv@mozilla.com","Quo Lux","Glass",
"501","SCK","Spurfowl, yellow-necked","gcomizzolidw@fotki.com","Cardify","Plexiglass",
"502","MGX","Puma, south american","wlipprosedx@a8.net","Tin","Plexiglass",
"503","FKS","Jackal, silver-backed","cleakedy@marketwatch.com","Fixflex","Granite",
"504","YMD","Southern tamandua","jthurmandz@istockphoto.com","Bitwolf","Glass",
"505","SXX","Feathertail glider","dhathwoode0@nyu.edu","Transcof","Plastic",
"506","KBR","Kirk's dik dik","cthurlbye1@prlog.org","Greenlam","Plexiglass",
"507","TSQ","Mountain goat","ldeinerte2@multiply.com","Prodder","Steel",
"508","VLS","Gazer, sun","amalinsone3@behance.net","Sonsing","Aluminum",
"509","AEQ","Armadillo, nine-banded","glaynee4@flickr.com","Domainer","Wood",
"510","KNK","Vine snake (unidentified)","kpadsone5@naver.com","Opela","Granite",
"511","ZSA","Blue crane","fhazeltone6@google.com.au","Vagram","Brass",
"512","AAH","Western spotted skunk","ahemerete7@biglobe.ne.jp","Zaam-Dox","Vinyl",
"513","INV","Legaan, water","acushione8@oracle.com","Tresom","Plastic",
"514","MTM","Fox, grey","bcrosbiee9@freewebs.com","Holdlamis","Steel",
"515","TDV","Galapagos dove","tdunstoneea@admin.ch","Hatity","Rubber",
"516","GKT","Snake, green vine","elenardeb@noaa.gov","Tampflex","Rubber",
"517","RVK","Bulbul, african red-eyed","odabelsec@globo.com","Trippledex","Stone",
"518","MDH","Devil, tasmanian","ashickleed@mayoclinic.com","Flexidy","Rubber",
"519","BIJ","Mountain goat","cblacktinee@nature.com","Tempsoft","Vinyl",
"520","FLX","Olive baboon","gjenneref@theglobeandmail.com","Tresom","Rubber",
"521","USM","Sheep, stone","prampleeeg@xinhuanet.com","Regrant","Rubber",
"522","AHT","Wild boar","apitneyeh@bing.com","Aerified","Stone",
"523","DCF","Carmine bee-eater","nbackeei@51.la","Alphazap","Aluminum",
"524","KMZ","Anteater, giant","srenej@google.es","Trippledex","Brass",
"525","MKZ","Dove, mourning collared","gmacneilek@prnewswire.com","Tempsoft","Aluminum",
"526","MCP","White-faced whistling duck","dworralel@accuweather.com","Hatity","Aluminum",
"527","DOA","Gray heron","tkynsonem@opera.com","Overhold","Rubber",
"528","CMG","Yellow-billed hornbill","semsleyen@dagondesign.com","Tampflex","Aluminum",
"529","SUZ","Eastern quoll","cpigfordeo@gravatar.com","Stringtough","Plastic",
"530","LEQ","Crane, blue","ecarrabottep@scientificamerican.com","Otcom","Glass",
"531","RSX","Shrew, mandras tree","nmckinlesseq@nasa.gov","Tin","Plexiglass",
"532","TDG","Red phalarope","bhastingser@zimbio.com","Bamity","Plastic",
"533","WAF","Bulbul, black-eyed","tmenhames@themeforest.net","Home Ing","Granite",
"534","OUN","Wallaby, whip-tailed","rklaveset@github.io","Zamit","Vinyl",
"535","AKU","Sheep, stone","wlittlereu@webs.com","Domainer","Steel",
"536","TAC","Tropical buckeye butterfly","chitzmannev@g.co","Stim","Plexiglass",
"537","CUQ","Lion, galapagos sea","gfrayneew@miitbeian.gov.cn","Domainer","Glass",
"538","CXH","Pigeon, feral rock","mhysomex@wufoo.com","Opela","Wood",
"539","EYL","Curve-billed thrasher","kmarshmaney@vinaora.com","Domainer","Plastic",
"540","YYA","Desert spiny lizard","ldanielovitchez@hatena.ne.jp","Aerified","Plexiglass",
"541","ULV","Shrike, common boubou","avallentinf0@java.com","Wrapsafe","Stone",
"542","MPT","Elephant, african","yagettf1@shutterfly.com","Voyatouch","Brass",
"543","PHB","Bustard, denham's","gissacofff2@disqus.com","Tres-Zap","Vinyl",
"544","CVM","Bird, bare-faced go away","gtomasinif3@aboutads.info","Stim","Vinyl",
"545","BWI","Squirrel, grey-footed","tlucockf4@exblog.jp","Veribet","Stone",
"546","GGL","Stork, white-necked","ncollumbellf5@360.cn","Hatity","Wood",
"547","WRA","Galapagos hawk","hfitzroyf6@uiuc.edu","Flowdesk","Brass",
"548","VAO","Indian star tortoise","ldavidovicf7@amazonaws.com","Zathin","Wood",
"549","ROB","Purple grenadier","cassantef8@scientificamerican.com","Zoolab","Granite",
"550","EAR","African bush squirrel","spetrovicf9@php.net","Greenlam","Glass",
"551","TTR","Amazon parrot (unidentified)","jphebeefa@github.com","Tampflex","Granite",
"552","WAN","Squirrel, richardson's ground","tetheringtonfb@bloomberg.com","Lotstring","Plexiglass",
"553","KFS","Blesbok","slivseyfc@zdnet.com","Andalax","Glass",
"554","ZHM","Two-toed sloth","llynesfd@live.com","Andalax","Granite",
"555","HHQ","Asian false vampire bat","wpenzerfe@microsoft.com","It","Aluminum",
"556","BAV","Dove, galapagos","tfelceff@pcworld.com","Job","Brass",
"557","KUU","Steller sea lion","khuguesfg@freewebs.com","Subin","Wood",
"558","0","Robin, white-throated","mmurfordfh@intel.com","Biodex","Plastic",
"559","PRV","Mountain lion","kjackettfi@timesonline.co.uk","Rank","Plastic",
"560","ZGS","Red hartebeest","kcollisfj@drupal.org","Home Ing","Aluminum",
"561","STB","Bleu, blue-breasted cordon","relcombefk@ucla.edu","Ronstring","Brass",
"562","HIJ","Fox, pampa gray","wcasarolifl@lulu.com","Toughjoyfax","Rubber",
"563","CYF","Asian red fox","aconstanzafm@ted.com","Voyatouch","Glass",
"564","VIS","American marten","grouthamfn@moonfruit.com","Voltsillam","Rubber",
"565","LOQ","Grey mouse lemur","cflowerdenfo@reverbnation.com","Rank","Plexiglass",
"566","BVL","Australian magpie","svoelkerfp@i2i.jp","Home Ing","Steel",
"567","CUT","Common rhea","mwingatefq@wp.com","Treeflex","Granite",
"568","WLR","Starling, red-shouldered glossy","ddovydenasfr@over-blog.com","Andalax","Glass",
"569","SSG","Goose, snow","mwattingfs@google.ru","Gembucket","Aluminum",
"570","PUD","Sambar","rshakeladyft@answers.com","Greenlam","Glass",
"571","FAU","Bird (unidentified)","gchaimsonfu@phpbb.com","Bitchip","Aluminum",
"572","ALV","Sulfur-crested cockatoo","rkytleyfv@prlog.org","Konklab","Brass",
"573","ZYL","European spoonbill","vodoghestyfw@imdb.com","Hatity","Plastic",
"574","NGD","Galapagos sea lion","aconlonfx@irs.gov","Bitwolf","Stone",
"575","VVI","Raccoon dog","dwaitlandfy@friendfeed.com","Flowdesk","Glass",
"576","SJL","Mongoose, eastern dwarf","vthainefz@toplist.cz","Daltfresh","Wood",
"577","OVG","Civet cat","gduchartg0@wsj.com","Konklab","Wood",
"578","GRN","American badger","pginglesg1@people.com.cn","Stronghold","Plastic",
"579","AUX","Boar, wild","dtanbyg2@statcounter.com","Bytecard","Wood",
"580","STT","Cobra, cape","tmcnickleg3@businessweek.com","Toughjoyfax","Glass",
"581","CZM","Fox, blue","mdibiaggig4@nymag.com","Stringtough","Wood",
"582","BBU","Sportive lemur","chalsteadg5@trellian.com","Opela","Plastic",
"583","DLV","Woodrat (unidentified)","sskeechg6@sciencedirect.com","Fintone","Aluminum",
"584","RHN","Heron, boat-billed","ibonettg7@moonfruit.com","Tin","Wood",
"585","YGC","Blue duck","zkeang8@netscape.com","Zoolab","Vinyl",
"586","BMX","Denham's bustard","mgashiong9@yelp.com","Temp","Plastic",
"587","JTI","Egret, great","swickenga@t.co","Treeflex","Vinyl",
"588","HGD","Yellow-bellied marmot","kglavingb@ft.com","Matsoft","Stone",
"589","VTN","Mississippi alligator","pinglefieldgc@chron.com","Voyatouch","Plexiglass",
"590","YLL","Crested bunting","locahsedygd@dailymotion.com","Daltfresh","Brass",
"591","AFY","Trotter, lily","lfrancelloge@nytimes.com","Kanlam","Brass",
"592","GND","Dragonfly, russian","aforbesgf@hao123.com","Wrapsafe","Rubber",
"593","ILA","Small-clawed otter","dnuttallgg@smugmug.com","Zontrax","Vinyl",
"594","MZL","Shrike, crimson-breasted","soxberrygh@comcast.net","Redhold","Steel",
"595","OBN","Red brocket","fboichgi@geocities.jp","Sub-Ex","Glass",
"596","SGL","White-necked raven","lthirtlegj@dmoz.org","Quo Lux","Plexiglass",
"597","BWB","Squirrel glider","rpostlethwaitegk@marketwatch.com","Kanlam","Steel",
"598","BKX","Gull, lava","mdupreegl@gnu.org","Mat Lam Tam","Rubber",
"599","BDE","Magellanic penguin","cbeilbygm@goo.ne.jp","Latlux","Glass",
"600","YBC","Asian red fox","foxboroughgn@msu.edu","Quo Lux","Wood",
"601","TR7","Marine iguana","renstengo@myspace.com","Cardify","Granite",
"602","BER","Cliffchat, mocking","fcanegp@bloglovin.com","Voltsillam","Rubber",
"603","AIU","Mongoose, eastern dwarf","gcullingfordgq@marriott.com","Cookley","Brass",
"604","GHF","Capuchin, white-fronted","dborrillgr@dropbox.com","Kanlam","Brass",
"605","CFT","Crow, house","eellingfordgs@globo.com","Keylex","Glass",
"606","OMD","Goose, snow","rpannamangt@oakley.com","Bitchip","Plastic",
"607","AFF","Monitor, water","cwansburygu@vk.com","Quo Lux","Stone",
"608","HXD","Cobra (unidentified)","frhoddiegv@hp.com","Ronstring","Wood",
"609","WKF","Brolga crane","kspyergw@ibm.com","Bitwolf","Vinyl",
"610","MPL","Armadillo, seven-banded","jkitmangx@ovh.net","Regrant","Aluminum",
"611","LNK","Kite, black","cgildinggy@adobe.com","Overhold","Plexiglass",
"612","AKJ","Squirrel, grey-footed","lisaaksohngz@auda.org.au","Opela","Stone",
"613","IXU","Coatimundi, white-nosed","mstodarth0@mapy.cz","Stringtough","Stone",
"614","BDO","Gulls (unidentified)","lmatzelh1@msu.edu","Flexidy","Brass",
"615","FRJ","Hornbill, southern ground","gtollh2@cargocollective.com","Zamit","Wood",
"616","BCC","African bush squirrel","iheninghamh3@census.gov","Zathin","Aluminum",
"617","KJP","Wallaby, river","kcanacotth4@ustream.tv","Tempsoft","Steel",
"618","AVI","Waxbill, black-cheeked","sdulwichh5@i2i.jp","Bytecard","Brass",
"619","TNZ","Nutcracker, clark's","tstuth6@seesaa.net","Tampflex","Plexiglass",
"620","PKP","Trumpeter, green-winged","lwarnesh7@google.de","Trippledex","Steel",
"621","CBT","Quoll, spotted-tailed","chapperth8@tinypic.com","Stim","Wood",
"622","BMQ","Red-tailed wambenger","fetchinghamh9@blogspot.com","Viva","Aluminum",
"623","YQS","Anteater, australian spiny","jchalliceha@dedecms.com","Aerified","Aluminum",
"624","DAY","Square-lipped rhinoceros","afusthb@gmpg.org","Domainer","Plexiglass",
"625","JUN","Oryx, beisa","hrobardhc@qq.com","Duobam","Wood",
"626","GDC","Black and white colobus","dbaynamhd@tmall.com","Span","Rubber",
"627","LKY","Barasingha deer","ududinhe@prweb.com","Bamity","Rubber",
"628","WYE","Green vine snake","ldeathhf@1688.com","Konklab","Stone",
"629","RCT","Cereopsis goose","rbradshawhg@deviantart.com","Keylex","Steel",
"630","VRL","Zorilla","charsehh@behance.net","Solarbreeze","Stone",
"631","SQT","Clark's nutcracker","lhartridgehi@marriott.com","Y-find","Stone",
"632","CRJ","White-throated robin","hjessetthj@acquirethisname.com","Span","Plexiglass",
"633","WSX","Tarantula","kbeckeyhk@purevolume.com","Ronstring","Granite",
"634","DUE","Spider, wolf","lsainthl@unblog.fr","Y-Solowarm","Wood",
"635","YSO","Baleen whale","akilfordhm@yahoo.com","Fintone","Granite",
"636","ENW","Ibis, glossy","ggarforthhn@1688.com","Lotlux","Vinyl",
"637","FKB","Python (unidentified)","amacknishho@about.me","Otcom","Plastic",
"638","SHS","Vulture, white-rumped","theadonhp@posterous.com","Toughjoyfax","Stone",
"639","CEN","Common eland","lskillenhq@twitter.com","Latlux","Rubber",
"640","ISI","Roseate cockatoo","hlittleoverhr@ihg.com","Tampflex","Plexiglass",
"641","SNP","Pine siskin","fcolatonhs@reference.com","Fix San","Rubber",
"642","FAZ","Flying fox (unidentified)","bsympsonht@wordpress.com","Zathin","Aluminum",
"643","COE","Horned rattlesnake","cloderhu@google.es","Biodex","Rubber",
"644","OBC","Baleen whale","lsaicehv@blogspot.com","Overhold","Rubber",
"645","AFY","Eastern indigo snake","acrenshawhw@skype.com","Stronghold","Glass",
"646","MBD","Silver gull","mcabenahx@ehow.com","Stringtough","Brass",
"647","0","Common melba finch","lwillarshy@businessweek.com","Cardify","Glass",
"648","BKS","Kalahari scrub robin","eguddehz@mayoclinic.com","Veribet","Brass",
"649","AYD","Golden brush-tailed possum","bspurdlei0@cocolog-nifty.com","Transcof","Aluminum",
"650","RSH","Bengal vulture","edallaghani1@arstechnica.com","Biodex","Brass",
"651","UIP","African pied wagtail","lbrandsi2@thetimes.co.uk","Keylex","Wood",
"652","CAK","Booby, blue-footed","jickovicii3@techcrunch.com","Daltfresh","Steel",
"653","KSW","American crow","lcleali4@adobe.com","Stim","Stone",
"654","XLW","Cormorant, king","arabidgei5@bbb.org","Matsoft","Plexiglass",
"655","OHE","Caracara, yellow-headed","ckopeckai6@goodreads.com","Opela","Granite",
"656","TBK","Alpaca","wdeverauxi7@paginegialle.it","Mat Lam Tam","Granite",
"657","ANF","European red squirrel","abrandinoi8@cmu.edu","Voyatouch","Granite",
"658","LRV","Common langur","vbeckensalli9@twitpic.com","Wrapsafe","Plexiglass",
"659","WLW","Kaffir cat","cdalemania@earthlink.net","Kanlam","Granite",
"660","XAL","Ferruginous hawk","emcgiffinib@amazon.co.jp","Tin","Stone",
"661","BUW","Red-cheeked cordon bleu","vwasielic@smh.com.au","Veribet","Brass",
"662","MBT","Giant anteater","jroonyid@deviantart.com","Opela","Aluminum",
"663","TMO","Robin, white-throated","dpiechaie@omniture.com","Mat Lam Tam","Plastic",
"664","APO","Penguin, galapagos","rreinardif@wikimedia.org","Sonair","Wood",
"665","PBN","Rhesus monkey","lbeardowig@domainmarket.com","Duobam","Granite",
"666","LCD","Hoopoe, eurasian","bgrzelakih@parallels.com","Ventosanzap","Steel",
"667","HKK","Pied crow","fburdounii@purevolume.com","Wrapsafe","Plastic",
"668","BFN","Kafue flats lechwe","rgrigoreij@irs.gov","Solarbreeze","Granite",
"669","ETS","Flamingo, roseat","pcardenosaik@wordpress.org","Veribet","Wood",
"670","XMW","Alligator, mississippi","jwahneril@sourceforge.net","Tampflex","Plexiglass",
"671","GRV","Zorro, common","hmatteoniim@i2i.jp","Alpha","Aluminum",
"672","HUS","Fisher","aticein@opera.com","Konklab","Granite",
"673","TRN","Baboon, olive","aklassmannio@naver.com","Andalax","Vinyl",
"674","KAM","Meerkat, red","cstubbingtonip@paypal.com","Sonair","Stone",
